country,iso3,year,carbon_intensity,is_eu_member,is_turkey
Sweden,SWE,2025,35.345,True,False
France,FRA,2025,41.224,True,False
Finland,FIN,2025,57.242,True,False
Slovakia,SVK,2025,95.015,True,False
Denmark,DNK,2025,99.887,True,False
Austria,AUT,2025,116.698,True,False
Luxembourg,LUX,2025,120.779,True,False
Belgium,BEL,2025,125.854,True,False
Portugal,PRT,2025,127.805,True,False
Latvia,LVA,2025,134.896,True,False
Lithuania,LTU,2025,138.173,True,False
Spain,ESP,2025,153.458,True,False
Croatia,HRV,2025,158.081,True,False
Hungary,HUN,2025,162.62,True,False
Slovenia,SVN,2025,188.482,True,False
United Kingdom,GBR,2025,218.22,False,False
Netherlands,NLD,2025,253.664,True,False
Romania,ROU,2025,259.161,True,False
Ireland,IRL,2025,263.289,True,False
Bulgaria,BGR,2025,275.347,True,False
Italy,ITA,2025,284.271,True,False
Estonia,EST,2025,318.56,True,False
Greece,GRC,2025,324.762,True,False
Germany,DEU,2025,334.117,True,False
Czechia,CZE,2025,401.366,True,False
Türkiye,TUR,2025,475.776,False,True
Malta,MLT,2025,479.638,True,False
Cyprus,CYP,2025,505.196,True,False
Poland,POL,2025,590.886,True,False
